loanId,borrowerId,loanType,originationDate,maturityDate,originalPrincipal,currentBalance,interestRate,termMonths,paymentAmount,paymentStatus,daysPastDue,borrowerState,borrowerZip,creditScore,appraisedValue,servicerId,lastUpdatedAt
CLEAN-0001,CB-0001,FIXED,2019-01-10,2049-01-10,300000.00,240000.00,5.5000,360,1703.37,CURRENT,0,CA,10000,700,390000.00,SVC-01,2026-07-31
CLEAN-0002,CB-0002,FIXED,2019-02-10,2049-02-10,301000.00,240800.00,5.5000,360,1709.04,CURRENT,0,TX,10007,701,391300.00,SVC-01,2026-07-31
CLEAN-0003,CB-0003,FIXED,2019-03-10,2049-03-10,302000.00,241600.00,5.5000,360,1714.72,CURRENT,0,FL,10014,702,392600.00,SVC-01,2026-07-31
CLEAN-0004,CB-0004,FIXED,2019-04-10,2049-04-10,303000.00,242400.00,5.5000,360,1720.40,CURRENT,0,NY,10021,703,393900.00,SVC-01,2026-07-31
CLEAN-0005,CB-0005,FIXED,2019-05-10,2049-05-10,304000.00,243200.00,5.5000,360,1726.08,CURRENT,0,IL,10028,704,395200.00,SVC-01,2026-07-31
CLEAN-0006,CB-0006,FIXED,2019-06-10,2049-06-10,305000.00,244000.00,5.5000,360,1731.76,CURRENT,0,PA,10035,705,396500.00,SVC-01,2026-07-31
CLEAN-0007,CB-0007,FIXED,2019-07-10,2049-07-10,306000.00,244800.00,5.5000,360,1737.43,CURRENT,0,OH,10042,706,397800.00,SVC-01,2026-07-31
CLEAN-0008,CB-0008,FIXED,2019-08-10,2049-08-10,307000.00,245600.00,5.5000,360,1743.11,CURRENT,0,GA,10049,707,399100.00,SVC-01,2026-07-31
CLEAN-0009,CB-0009,FIXED,2019-09-10,2049-09-10,308000.00,246400.00,5.5000,360,1748.79,CURRENT,0,NC,10056,708,400400.00,SVC-01,2026-07-31
CLEAN-0010,CB-0010,FIXED,2019-10-10,2049-10-10,309000.00,247200.00,5.5000,360,1754.47,CURRENT,0,MI,10063,709,401700.00,SVC-01,2026-07-31
CLEAN-0011,CB-0011,FIXED,2019-11-10,2049-11-10,310000.00,248000.00,5.5000,360,1760.15,CURRENT,0,NJ,10070,710,403000.00,SVC-01,2026-07-31
CLEAN-0012,CB-0012,FIXED,2019-12-10,2049-12-10,311000.00,248800.00,5.5000,360,1765.82,CURRENT,0,VA,10077,711,404300.00,SVC-01,2026-07-31
CLEAN-0013,CB-0013,FIXED,2019-01-10,2049-01-10,312000.00,249600.00,5.5000,360,1771.50,CURRENT,0,WA,10084,712,405600.00,SVC-01,2026-07-31
CLEAN-0014,CB-0014,FIXED,2019-02-10,2049-02-10,313000.00,250400.00,5.5000,360,1777.18,CURRENT,0,AZ,10091,713,406900.00,SVC-01,2026-07-31
CLEAN-0015,CB-0015,FIXED,2019-03-10,2049-03-10,314000.00,251200.00,5.5000,360,1782.86,CURRENT,0,MA,10098,714,408200.00,SVC-01,2026-07-31
CLEAN-0016,CB-0016,FIXED,2019-04-10,2049-04-10,315000.00,252000.00,5.5000,360,1788.54,CURRENT,0,TN,10105,715,409500.00,SVC-01,2026-07-31
CLEAN-0017,CB-0017,FIXED,2019-05-10,2049-05-10,316000.00,252800.00,5.5000,360,1794.21,CURRENT,0,IN,10112,716,410800.00,SVC-01,2026-07-31
