Loan No,Promissory Note,Security Instrument
LN-000001,N,N
LN-000002,Y,Y
LN-000003,Y,Y
LN-000004,Y,Y
LN-000005,Y,Y
LN-000006,Y,Y
LN-000007,Y,Y
LN-000008,Y,Y
LN-000009,Y,Y
LN-000010,Y,Y
LN-000011,Y,Y
LN-000012,Y,Y
LN-000013,Y,Y
LN-000014,Y,Y
LN-000015,Y,Y
LN-000016,Y,Y
LN-000017,Y,Y
LN-000018,Y,Y
LN-000019,Y,Y
LN-000020,Y,Y
LN-000021,Y,Y
LN-000022,Y,Y
LN-000023,Y,Y
LN-000024,Y,Y
LN-000025,Y,Y
LN-000026,Y,Y
LN-000027,Y,Y
LN-000028,Y,Y
LN-000029,Y,Y
LN-000030,Y,Y
LN-000031,Y,Y
LN-000032,Y,N
LN-000033,Y,Y
LN-000034,Y,Y
LN-000035,Y,Y
LN-000036,Y,Y
LN-000037,Y,Y
,Y,Y
LN-000039,Y,Y
LN-000040,Y,Y
LN-000041,Y,Y
LN-000042,Y,Y
LN-000043,Y,Y
LN-000044,Y,Y
LN-000045,Y,Y
LN-000047,Y,Y
LN-000048,N,N
LN-000049,Y,Y
LN-000050,Y,Y
LN-000051,Y,Y
LN-000052,Y,Y
LN-000053,Y,Y
LN-000054,Y,Y
LN-000055,Y,Y
LN-000056,Y,Y
LN-000057,Y,Y
LN-000058,Y,Y
LN-000059,Y,Y
LN-000060,Y,Y
LN-000061,Y,Y
LN-000062,Y,Y
LN-000063,Y,N
LN-000064,Y,Y
LN-000065,Y,Y
LN-000066,Y,Y
LN-000067,Y,Y
LN-000068,Y,Y
LN-000069,Y,Y
LN-000070,Y,Y
LN-000071,Y,Y
LN-000072,Y,Y
LN-000073,Y,Y
LN-000074,Y,Y
LN-000075,Y,Y
LN-000076,Y,Y
LN-000077,Y,Y
LN-000078,Y,Y
LN-000079,Y,Y
LN-000080,Y,Y
LN-000081,Y,Y
LN-000082,Y,Y
LN-000083,Y,Y
LN-000084,Y,Y
LN-000085,Y,Y
LN-000086,Y,Y
LN-000087,Y,Y
LN-000088,Y,Y
LN-000089,Y,Y
LN-000090,Y,Y
LN-000091,Y,Y
LN-000092,Y,Y
LN-000093,Y,Y
LN-000094,Y,N
LN-000095,N,N
LN-000096,Y,Y
LN-000097,Y,Y
LN-000098,Y,Y
LN-000099,Y,Y
LN-000100,Y,Y
LN-000101,Y,Y
LN-000102,Y,Y
LN-000103,Y,Y
LN-000104,Y,Y
LN-000105,Y,Y
LN-000106,Y,Y
LN-000107,Y,Y
LN-000108,Y,Y
LN-000109,Y,Y
LN-000110,Y,Y
LN-000111,Y,Y
