Loan No,Borrower ID,Product,Purpose,Orig Dt,Mat Dt,Orig Bal ($),Curr Bal ,Int Rate,Term,P&I,Status,DPD,Last Paid,Prop St,Zip,FICO,Grade,Emp Length,Income Band,Col_17,Svcr,Servicer Name,As Of,Source System,Pool Cd,Notes
LN-000001,B-00390,Fixed Rate,Debt consolidation,08/03/2024,08/03/2054,"$352,000.00","$282,742.26",0.04484,360,1780.19,Current,0,2026-07-02,WA,74304,682,B,10+ years,50-75k,424000,SVC-06,SVC-06 Servicing LLC,2026-07-18,SHAWBROOK,P-2024-B,see servicing file
LN-000002,B-00369,Fixed Rate,Purchase,07/09/2022,07/09/2042,"$105,000.00",84589.08,0.07536,240,848.19,Current,0,2026-06-13,NY,31631,,B+,7 years,150-250k,163000,SVC-05,SVC-05 Servicing LLC,2026-07-23,LEGACY-AS400,P-2024-B,
LN-000003,B-00171,Personal,Debt consolidation,05/22/2021,05/22/2051,"$550,500.00",464905.23,0.07877,360,3992.27,Current,0,2026-07-08,GA,29745,634,C+,5 years,250k+,645000,SVC-01,SVC-01 Servicing LLC,2026-07-26,SHAWBROOK,P-2024-A,escrow waived
LN-000004,B-00349,Personal,Purchase,04/12/2020,12/04/2040,"$669,000.00",533787.15,0.05337,240,4540.59,Current,0,2026-07-06,MI,03208,716,B-,< 1 year,<50k,927000,SVC-06,SVC-06 Servicing LLC,2026-07-11,LEGACY-AS400,P-2024-B,
LN-000005,B-00063,ARM,Refinance,06/12/2020,06/12/2027,"$506,500.00",347267.18,0.07145,84,7680.39,Current,0,2026-06-28,CA,8681,622,A-,3 years,250k+,804000,SVC-01,SVC-01 Servicing LLC,2026-07-15,SHAWBROOK,P-2023-C,modified 2023
LN-000006,B-00435,Auto,Debt consolidation,11/01/2017,53997,"$184,000.00",93590.13,0.07457,360,1281.14,Current,0,2026-06-16,WA,64563,,B-,< 1 year,75-100k,281000,SVC-02,SVC-02 Servicing LLC,2026-07-16,SHAWBROOK,P-2023-C,see servicing file
LN-000007,B-00445,ARM,Cash-out refi,10/19/2017,10/19/2047,"$74,500.00",36976.45,0.07017,360,496.50,Current,0,2025-12-03,NJ,14731,702,A,2 years,250k+,89000,SVC-02,SVC-02 Servicing LLC,2026-01-01,FISERV,P-2024-A,
LN-000008,B-00077,Auto,Debt consolidation,04/01/2018,04/01/2048,"$641,500.00",541201.51,0.07861,360,4645.09,Current,45,2026-05-30,VA,04800,697,A,2 years,100-150k,766000,SVC-04,SVC-04 Servicing LLC,2026-07-06,ENCOMPASS,P-2024-A,
LN-000009,B-00215,Adjustable Rate,Refinance,31/04/2023,12/04/2026,"$46,500.00","$32,294.80",0.06235,60,904.07,Current,0,2026-07-11,NY,23979,636,B+,< 1 year,<50k,72000,SVC-02,SVC-02 Servicing LLC,2026-07-20,SHAWBROOK,P-2023-C,
LN-000010,B-00104,Auto,Purchase,12/24/2020,12/24/2035,"$571,000.00",417337.44,0.05562,180,4684.35,Current,0,2026-07-11,Ontario,08302,,B-,3 years,50-75k,805000,SVC-03,SVC-03 Servicing LLC,2026-07-30,BLACKKNIGHT,P-2024-A,see servicing file
LN-000011,B-00356,Adjustable Rate,Purchase,01/12/2018,12/01/2025,"$845,500.00",787686.89,0.04567,84,11778.95,Current,0,2026-07-08,TN,43521,759,B+,7 years,100-150k,967000,SVC-03,SVC-03 Servicing LLC,2026-07-28,SHAWBROOK,P-2024-B,
LN-000012,B-00315,Adjustable Rate,Home improvement,05/11/2022,05/11/2042,"$120,500.00","(98,014.76)",0.07426,240,965.29,Current,0,2026-06-13,MI,26797,798,B,10+ years,150-250k,178000,SVC-06,SVC-06 Servicing LLC,2026-07-12,ENCOMPASS,P-2024-B,
LN-000013,B-00230,Adjustable Rate,Debt consolidation,09/21/2020,09/21/2030,"$281,000.00",200303.61,0.04320,120,2887.92,Current,0,2026-06-20,VA,28124,735,C+,5 years,100-150k,370000,SVC-04,SVC-04 Servicing LLC,2026-07-09,SHAWBROOK,P-2024-B,modified 2023
LN-000014,B-00045,Auto,Refinance,03/06/2020,03/06/2025,"$166,500.00",183351.78,0.07128,60,3306.96,Current,0,2026-07-16,Texas,17032,,C,1 year,250k+,241000,SVC-02,SVC-02 Servicing LLC,2026-07-21,SHAWBROOK,P-2024-A,refi
