Loan No,UPB,Days Delinquent,Loan Status,Report Date
LN-000001,278293.02,0,Current,2026-08-05
LN-000005,347267.18,0,Current,2026-08-05
LN-000009,32294.80,0,Current,2026-08-05
LN-000013,200303.61,0,Current,2026-08-05
LN-000017,31397.77,0,Current,2026-08-05
LN-000021,356223.25,0,Current,2026-08-05
LN-000025,513948.98,0,Current,2026-08-05
LN-000029,507550.21,0,Current,2026-08-05
LN-000033,563239.07,0,Current,2026-08-05
LN-000037,482872.76,0,Current,2026-08-05
LN-000041,218104.69,0,Current,2026-08-05
LN-000045,319283.51,0,Current,2026-08-05
LN-000049,417388.20,0,Current,2026-08-05
LN-000053,375404.64,0,Current,2026-08-05
LN-000057,81716.43,0,Current,2026-08-05
LN-000061,38345.24,0,Current,2026-08-05
LN-000065,324368.21,45,Delinquent,2026-08-05
LN-000069,81766.81,0,Current,2026-08-05
LN-000073,137395.10,0,Current,2026-08-05
LN-000077,205486.63,0,Paid Off,2026-08-05
LN-000081,201482.05,0,Current,2026-08-05
LN-000085,83249.89,0,Current,2026-08-05
LN-000089,414347.07,60,Delinquent,2026-08-05
LN-000093,674596.86,0,Current,2026-08-05
LN-000097,338637.84,0,Current,2026-08-05
LN-000101,450002.13,0,Current,2026-08-05
LN-000105,281664.08,0,Current,2026-08-05
LN-000109,234190.17,0,Current,2026-08-05
LN-000113,323454.44,0,Current,2026-08-05
LN-000117,445207.37,0,Current,2026-08-05
LN-000042,60134.23,0,Current,2026-08-05
LN-000125,272104.93,0,Current,2026-08-05
LN-000129,541045.63,0,Current,2026-08-05
LN-000133,710448.35,0,Current,2026-08-05
LN-000137,210060.08,0,Current,2026-08-05
LN-000141,120039.86,75,Delinquent,2026-08-05
LN-000145,269475.32,0,Current,2026-08-05
LN-000149,68036.83,0,Current,2026-08-05
LN-000153,561265.20,0,Current,2026-08-05
LN-000157,607039.81,120,Delinquent,2026-08-05
LN-000161,366807.43,0,Current,2026-08-05
LN-000165,197204.07,0,Current,2026-08-05
LN-000169,375003.36,0,Current,2026-08-05
LN-000173,269110.06,120,Delinquent,2026-08-05
LN-000177,408562.87,0,Current,2026-08-05
LN-000181,289579.39,0,Current,2026-08-05
LN-000185,337231.01,0,Current,2026-08-05
LN-000189,584555.34,45,Delinquent,2026-08-05
LN-000193,405325.61,30,Delinquent,2026-08-05
LN-000197,768071.62,0,Current,2026-08-05
LN-000201,234096.89,-10,Current,2026-08-05
LN-000205,658094.17,0,Current,2026-08-05
LN-000209,217402.31,0,Current,2026-08-05
LN-000213,43470.31,0,Current,2026-08-05
LN-000217,212291.36,75,Delinquent,2026-08-05
LN-000221,686321.78,0,Current,2026-08-05
LN-000225,142962.66,0,Current,2026-08-05
LN-000229,258470.17,120,Delinquent,2026-08-05
LN-000233,384021.66,0,Current,2026-08-05
LN-000237,590562.54,0,Current,2026-08-05
LN-000241,381704.26,0,Current,2026-08-05
LN-000245,609020.65,0,Current,2026-08-05
LN-000249,229219.41,0,Current,2026-08-05
LN-000253,128785.18,0,Current,2026-08-05
,258044.03,0,Current,2026-08-05
LN-000261,167292.75,0,Current,2026-08-05
LN-000265,523568.77,0,Current,2026-08-05
LN-000269,173220.78,0,Current,2026-08-05
LN-000273,735362.16,60,Delinquent,2026-08-05
LN-000277,190863.51,0,Current,2026-08-05
LN-000281,437320.97,0,Current,2026-08-05
LN-000285,133333.36,90,Delinquent,2026-08-05
LN-000289,411284.64,0,Paid Off,2026-08-05
LN-000293,348702.70,60,Delinquent,2026-08-05
LN-000297,496884.82,0,Current,2026-08-05
LN-000301,95719.11,0,Current,2026-08-05
LN-000305,148548.84,0,Current,2026-08-05
LN-000309,80447.20,0,Current,2026-08-05
LN-000313,410122.43,0,Current,2026-08-05
LN-000317,25056.70,0,Current,2026-08-05
LN-000321,559904.82,0,Current,2026-08-05
LN-000325,641446.85,0,Current,2026-08-05
LN-000329,76314.16,0,Current,2026-08-05
LN-000333,105581.94,0,Current,2026-08-05
LN-000337,286607.48,0,Current,2026-08-05
LN-000341,103761.66,0,Current,2026-08-05
LN-000345,258056.68,0,Current,2026-08-05
LN-000349,191827.07,0,Current,2026-08-05
LN-000353,315349.43,0,Current,2026-08-05
LN-000357,165995.48,0,Current,2026-08-05
LN-000361,320862.29,0,Current,2026-08-05
LN-000365,136518.75,0,Current,2026-08-05
LN-000369,344231.58,15,Delinquent,2026-08-05
LN-000373,99393.16,0,Current,2026-08-05
LN-000381,232009.94,0,Current,2026-08-05
LN-000385,664000.45,0,Current,2026-08-05
LN-000389,462767.71,0,Current,2026-08-05
LN-000393,371298.73,0,Current,2026-08-05
LN-000397,41545.37,0,Current,2026-08-05
LN-000401,205551.87,0,Current,2026-08-05
LN-000405,152951.98,0,Current,2026-08-05
LN-000409,638078.47,0,Current,2026-08-05
LN-000413,348220.11,0,Current,2026-08-05
LN-000417,54166.96,0,Current,2026-08-05
LN-000421,576659.28,0,Current,2026-08-05
LN-000425,509744.78,0,Current,2026-08-05
LN-000429,42152.45,0,Current,2026-08-05
LN-000433,373810.66,0,Current,2026-08-05
LN-000358,509058.90,90,Delinquent,2026-08-05
LN-000441,64816.07,0,Current,2026-08-05
LN-000445,107534.70,0,Current,2026-08-05
LN-000449,168192.33,0,Current,2026-08-05
LN-000453,292518.93,0,Current,2026-08-05
LN-000457,366143.09,0,Current,2026-08-05
LN-000461,78906.61,0,Current,2026-08-05
LN-000465,371682.71,0,Current,2026-08-05
LN-000469,560514.21,0,Current,2026-08-05
LN-000473,222328.23,120,Delinquent,2026-08-05
LN-000477,238133.37,45,Delinquent,2026-08-05
LN-000481,102951.70,0,Current,2026-08-05
LN-000485,471961.15,0,Current,2026-08-05
LN-000489,630488.89,0,Current,2026-08-05
LN-000493,289629.72,0,Current,2026-08-05
LN-000497,375386.53,0,Current,2026-08-05
