ruleCode,ruleName,severity,status,loanRecordId,field,observed,expected,clusterKey
STR-001,Missing loan identifier,BLOCKER,REJECTED,mtg4lgcq44d5abc9cac673d4,loanId,,a non-empty loan identifier,STR-001
STR-001,Missing loan identifier,BLOCKER,REJECTED,mtg4lh096908dd08e9294de5,loanId,,a non-empty loan identifier,STR-001
STR-001,Missing loan identifier,BLOCKER,REJECTED,mtg4lgbk6a90e1307b1d315c,loanId,,a non-empty loan identifier,STR-001
STR-001,Missing loan identifier,BLOCKER,REJECTED,mtg4lgnf7c4d7851933887a8,loanId,,a non-empty loan identifier,STR-001
STR-001,Missing loan identifier,BLOCKER,REJECTED,mtg4lgxw0f158c04a2a5b676,loanId,,a non-empty loan identifier,STR-001
STR-001,Missing loan identifier,BLOCKER,REJECTED,mtg4lhhf7ab00c6fde078b39,loanId,,a non-empty loan identifier,STR-001
STR-002,Duplicate loan identifier,BLOCKER,REJECTED,mtg4lgc2c02520adb89a4bc4,loanId,LN-000042,the identifier to appear exactly once in the tape,STR-002
STR-002,Duplicate loan identifier,BLOCKER,REJECTED,mtg4lgkh7a6817efc124a377,loanId,LN-000042,the identifier to appear exactly once in the tape,STR-002
STR-002,Duplicate loan identifier,BLOCKER,REJECTED,mtg4lh3t27a42d9ade8c310e,loanId,LN-000200,the identifier to appear exactly once in the tape,STR-002
STR-002,Duplicate loan identifier,BLOCKER,REJECTED,mtg4lhd07601bd5f8eb092bf,loanId,LN-000358,the identifier to appear exactly once in the tape,STR-002
STR-002,Duplicate loan identifier,BLOCKER,REJECTED,mtg4lgs5d91ed75a39775b13,loanId,LN-000200,the identifier to appear exactly once in the tape,STR-002
STR-002,Duplicate loan identifier,BLOCKER,REJECTED,mtg4lhnq26c9ddae4a4fe75b,loanId,LN-000358,the identifier to appear exactly once in the tape,STR-002
STR-003,"Duplicate borrower, principal and origination date",CRITICAL,REJECTED,mtg4lgcq44d5abc9cac673d4,borrowerId,B-00333,"no other row with the same borrower, principal and origination date",STR-003
STR-003,"Duplicate borrower, principal and origination date",CRITICAL,REJECTED,mtg4lgxw0f158c04a2a5b676,borrowerId,B-00333,"no other row with the same borrower, principal and origination date",STR-003
STR-004,Source column not mapped,WARNING,WAIVED,,,Pool Cd,every source column either mapped or explicitly ignored,
FMT-001,Origination date unparseable,CRITICAL,REJECTED,mtg4lg8kb83ce31ce3cb0a97,originationDate,"impossible date ""31/04/2023""",a real calendar date,date-format-mismatch
FMT-001,Origination date unparseable,CRITICAL,REJECTED,mtg4lgd54dca7a883ec1b970,originationDate,"impossible date ""30/02/2022""",a real calendar date,date-format-mismatch
FMT-001,Origination date unparseable,CRITICAL,REJECTED,mtg4lgho9139dee08aca38f6,originationDate,"impossible date ""30/02/2022""",a real calendar date,date-format-mismatch
FMT-001,Origination date unparseable,CRITICAL,REJECTED,mtg4lglo589d3efffdbe6394,originationDate,"impossible date ""31/02/2024""",a real calendar date,date-format-mismatch
FMT-001,Origination date unparseable,CRITICAL,REJECTED,mtg4lgpk9333b43f00b15ea8,originationDate,"impossible date ""31/09/2021""",a real calendar date,date-format-mismatch
FMT-001,Origination date unparseable,CRITICAL,REJECTED,mtg4lgtc90c2554cc7e0f96c,originationDate,"impossible date ""30/02/2022""",a real calendar date,date-format-mismatch
FMT-001,Origination date unparseable,CRITICAL,REJECTED,mtg4lgxo5c17b133331b6f59,originationDate,"impossible date ""31/04/2023""",a real calendar date,date-format-mismatch
FMT-001,Origination date unparseable,CRITICAL,REJECTED,mtg4lh6t3e75f34ddf8fefe7,originationDate,"impossible date ""31/09/2021""",a real calendar date,date-format-mismatch
FMT-001,Origination date unparseable,CRITICAL,REJECTED,mtg4lhb50e66dc0593caab7e,originationDate,"impossible date ""31/02/2024""",a real calendar date,date-format-mismatch
FMT-001,Origination date unparseable,CRITICAL,REJECTED,mtg4lhhla463288bb1f169d5,originationDate,"impossible date ""31/02/2024""",a real calendar date,date-format-mismatch
FMT-001,Origination date unparseable,CRITICAL,REJECTED,mtg4lhlucc5deb2ba5ddb66f,originationDate,"impossible date ""31/04/2023""",a real calendar date,date-format-mismatch
FMT-001,Origination date unparseable,CRITICAL,REJECTED,mtg4lhrb667b8890af935ebe,originationDate,"impossible date ""31/04/2023""",a real calendar date,date-format-mismatch
FMT-002,Maturity date unparseable,CRITICAL,REJECTED,mtg4lg96865cbc299f1e7eeb,maturityDate,"unrecognised date format ""TBD""",a real calendar date,date-format-mismatch
FMT-002,Maturity date unparseable,CRITICAL,REJECTED,mtg4lgm3f1437b918167372c,maturityDate,"impossible date ""00/00/0000""",a real calendar date,date-format-mismatch
FMT-002,Maturity date unparseable,CRITICAL,REJECTED,mtg4lgxz4b87f110a70a0f1c,maturityDate,"unrecognised date format ""n/a""",a real calendar date,date-format-mismatch
FMT-002,Maturity date unparseable,CRITICAL,REJECTED,mtg4lhht269057175e0c53fa,maturityDate,"incomplete date ""04-2049"": month and year only, no day",a real calendar date,date-format-mismatch
FMT-003,Balance is not numeric,CRITICAL,REJECTED,mtg4lgb6ddb236d55834ccfe,currentBalance,"not a number: ""pending""",a numeric amount,FMT-003
FMT-003,Balance is not numeric,CRITICAL,REJECTED,mtg4lgqk1736f901278bd49e,currentBalance,"not a number: ""TBD""",a numeric amount,FMT-003
FMT-003,Balance is not numeric,CRITICAL,REJECTED,mtg4lhaq99fff980728e0525,currentBalance,"not a number: ""pending""",a numeric amount,FMT-003
FMT-004,Invalid state code,WARNING,WAIVED,mtg4lg8nb5b05d1d8d72048c,borrowerState,"unrecognised state ""Ontario""",a two-letter USPS state code,FMT-004
FMT-004,Invalid state code,WARNING,WAIVED,mtg4lgc9851e56dda5ddd87c,borrowerState,"unrecognised state ""XX""",a two-letter USPS state code,FMT-004
FMT-004,Invalid state code,WARNING,WAIVED,mtg4lgg7838a7a27f99a2eac,borrowerState,"unrecognised state ""N/A""",a two-letter USPS state code,FMT-004
FMT-004,Invalid state code,WARNING,WAIVED,mtg4lgjff9c09ab8135815bd,borrowerState,"unrecognised state ""N/A""",a two-letter USPS state code,FMT-004
FMT-004,Invalid state code,WARNING,WAIVED,mtg4lgmm5a718cbc4735f0c6,borrowerState,"unrecognised state ""XX""",a two-letter USPS state code,FMT-004
FMT-004,Invalid state code,WARNING,WAIVED,mtg4lgpr63385e0d21d503a2,borrowerState,"unrecognised state ""N/A""",a two-letter USPS state code,FMT-004
FMT-004,Invalid state code,WARNING,WAIVED,mtg4lgsvfe98ecb30cac61bf,borrowerState,"unrecognised state ""Ontario""",a two-letter USPS state code,FMT-004
