loanId,borrowerId,loanType,loanPurpose,originationDate,maturityDate,originalPrincipal,currentBalance,interestRate,termMonths,paymentAmount,paymentStatus,daysPastDue,lastPaymentDate,borrowerState,borrowerZip,creditScore,creditGrade,employmentLength,incomeBand,appraisedValue,servicerId,servicerName,lastUpdatedAt,documentStatus,sourceSystem,verificationStatus,version,recordHash
LN-000001,B-00390,FIXED,Cash-out refi,2024-08-03,2054-08-03,352000.00,277078.77,4.4840,360,1780.19,CURRENT,0,2026-06-16,WA,74304,682,C,1 year,50-75k,424000.00,SVC-06,SVC-06 Servicing LLC,2026-07-18T00:00:00.000Z,MISSING,LEGACY-AS400,REJECTED,2,8ec927fdf995ae7652da8ea3921b9e9bffab1fd7aef16ca8027c63db918504a8
LN-000002,B-00369,FIXED,Home improvement,2022-07-09,2042-07-09,105000.00,84589.08,7.5360,240,848.19,CURRENT,0,2026-06-16,NY,31631,,B+,7 years,100-150k,163000.00,SVC-05,SVC-05 Servicing LLC,2026-07-23T00:00:00.000Z,COMPLETE,LEGACY-AS400,VERIFIED,1,e41f0b16f6a3ebd7c78ce70f18087cf14c8b1a4e967e9229597d0037afdc1360
LN-000003,B-00171,PERSONAL,Home improvement,2021-05-22,2051-05-22,550500.00,464905.23,7.8770,360,3992.27,CURRENT,0,2026-06-17,GA,29745,634,A,< 1 year,150-250k,645000.00,SVC-01,SVC-01 Servicing LLC,2026-07-26T00:00:00.000Z,COMPLETE,ENCOMPASS,VERIFIED,1,653320903de7cf7808cafff141cf10e7bb43983a75e56f4d57e2e029e4cceabf
LN-000004,B-00349,PERSONAL,Cash-out refi,2020-04-12,2040-12-04,669000.00,533787.15,5.3370,240,4540.59,CURRENT,0,2026-06-04,MI,03208,716,B+,2 years,50-75k,927000.00,SVC-06,SVC-06 Servicing LLC,2026-07-11T00:00:00.000Z,COMPLETE,BLACKKNIGHT,VERIFIED,1,c8e8f9bcc0d46584adeb7c8e423aab92a9a1e58edc809a28b64a6b95d4d5da62
LN-000005,B-00063,ARM,Debt consolidation,2020-06-12,2027-06-12,506500.00,347267.18,7.1450,84,7680.39,CURRENT,0,2026-06-16,CA,08681,622,B-,10+ years,100-150k,804000.00,SVC-01,SVC-01 Servicing LLC,2026-07-15T00:00:00.000Z,COMPLETE,ENCOMPASS,VERIFIED,1,f644c68f660196c3d95ed9e9a7c4a1be1f5d37db03118300670388f64e11aed2
LN-000006,B-00435,AUTO,Debt consolidation,2017-11-01,2047-11-01,184000.00,93590.13,7.4570,360,1281.14,CURRENT,0,2026-06-13,WA,64563,,B-,5 years,<50k,281000.00,SVC-02,SVC-02 Servicing LLC,2026-07-16T00:00:00.000Z,COMPLETE,FISERV,VERIFIED,1,ce61950690e3bda0bfb8c627b43c35af8e60478c8e1eeeffd5c004bc46bad63d
LN-000007,B-00445,ARM,Purchase,2017-10-19,2047-10-19,74500.00,36976.45,7.0170,360,496.50,CURRENT,0,2025-12-21,NJ,14731,702,C+,10+ years,<50k,89000.00,SVC-02,SVC-02 Servicing LLC,2026-01-01T00:00:00.000Z,COMPLETE,FISERV,VERIFIED,1,fbe080e0d1bb249958f2590d6a7d31024d67251164ecd4ecc5791f956c983fb1
LN-000008,B-00077,AUTO,Refinance,2018-04-01,2048-04-01,641500.00,541201.51,7.8610,360,4645.09,DELINQUENT,45,2026-07-05,VA,04800,697,B,1 year,75-100k,766000.00,SVC-04,SVC-04 Servicing LLC,2026-07-06T00:00:00.000Z,COMPLETE,FISERV,VERIFIED,2,5d55d6aa931da4e75ae3bba6c4d41a895b3ec64f800faf725a6f1172283d825c
LN-000009,B-00215,ARM,Debt consolidation,,2026-12-04,46500.00,32294.80,6.2350,60,904.07,CURRENT,0,2026-06-18,NY,23979,636,B+,1 year,<50k,72000.00,SVC-02,SVC-02 Servicing LLC,2026-07-20T00:00:00.000Z,COMPLETE,SHAWBROOK,REJECTED,1,1d3844e5fcd4ec6142bda1270f5c30bc15c657bc44857fc837627f31bb8be8b4
LN-000010,B-00104,AUTO,Cash-out refi,2020-12-24,2035-12-24,571000.00,417337.44,5.5620,180,4684.35,CURRENT,0,2026-07-20,,08302,,B,< 1 year,75-100k,805000.00,SVC-03,SVC-03 Servicing LLC,2026-07-30T00:00:00.000Z,COMPLETE,SHAWBROOK,VERIFIED,1,9860ab2d2ddf874b4fa0d7cdd701d4697ecfe5d4be385e82e49457164bc3b092
